# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4493 channels, swept 2026-08-03.
#
# Next:  node tools/add-candidates.js catalog/reach-7.txt

UCX-N31fStWlBGrOzbpZ4MpQ  # Gen and the Degenerates
UCsi7hqrvd36yzNLxHqWKE6w  # Inklings
UC1reRKEEnC41iRwHyKZI39g  # Christine Tassan
UCjrENgB7ytNazd1mT1v5jJA  # The Bottom Line
UCygYX-o2Q4G_0rCyMSsk9vA  # Reigning Days
UC1AH7xvzpGOArDbD5kuk25A  # ImAllexx
UCki1I0RCzDl2TX_5GXyrGaw  # ImAllexx
UCoAnrmz85yuEuQge3vdf5Qw  # ImAllexx
UCu0qhGi0uL6wBw8TlLVF8kw  # ImAllexx
UCuWkqprZKXH8IgTRDsTfxDQ  # Allan Plenderleith
UCphrFEG2LfFyXFP_ZF0AHzw  # MAZ
UC9T9mnA5u12DlQjeywuonpw  # Phoenix SC
UCj4zC1Hfj-uc90FUXzRamNw  # Phoenix SC
UCpR1OUyqnqU3klw-i5Jt4oQ  # Sylvie
UCP_ri1gE8FqQbG7Kp93mvkA  # Daniel Webbon
UCeb_j5NvrhC9CqMYVprkn0g  # Doug Niemela
UCzEy7pi3B7TIS9cn_sdKK9A  # GrayStillPlays
UCpWJ6nVH2EaUPtOn8P6wKfg  # Curtis Peacock
UCkOqYNfvD5NAlZftSsN7MGA  # Dayton Kingery
UCklX_aUVl4F9g5uGmlRTNIQ  # Rainbow Rosalind
UC_vsNz6ePOsu7gqRpyy2PWw  # Ash on LoL
UCdz0C8lWpUz9mKLjTQsrddA  # HeadHoncho
UCKkESobB9swkoXXzdVImLGg  # JPhelpz
UCgU0HjKKt-n-ef1bFkHTauA  # Mahleej Sarkari
UCxAuv4Pctqbyxf0i5ClnJCg  # POESY
UC74e49D_QL61IpfssP2NPvg  # Andrew Neighbors
UCsvY-eOE4LE6dOfZ0GKibQg  # Lenard Augustus Marcel Anderson
UCYMvQY_T0PIeg3oEjbd17-w  # Sweet Oblivion
UCKVRypiYlsvNxWtU5WJ5OAQ  # J. Luis
UC-RQIQ_8tMbbGNurDUp5l7w  # Kaelaris
UCPcKrWSVYT__HG5usbJ9fzQ  # Kaelaris
UCk7FouUfK9_RdeGDh5IVr1w  # Maynarde
UCp4pFF9qhDeeCpPIxN6NYCA  # Maynarde
UCBrqKGb1cWqc_1z2BMqD24Q  # Nathanias
UC9OluGthYmZo0vsF9IjicFg  # PiG
UCSUyVLZbrIrA0X44vlghq1g  # ZombieGrub
UCtHrqpgljUYuUoxvsDge62g  # feardragon
UC-kJ4M7QkznEU9nUDepR1Lw  # Wardi
UCBzQNYlZfzYco47qCX6YPhQ  # Forest Quaglia
UCvJXlX71ENhg4BD2kxDmOyg  # Ksana Sergienko
UCpa-Zb0ZcQjTCPP1Dx_1M8Q  # LegalEagle
UCpSUQewzOXg1F0zLmieKCqQ  # LegalEagle
UC4uKK_YwAxTfad3x8cAJb6A  # CjTheseDays
UCdhUHsaqeMv5wAKrSp5yJ_g  # Walid Elmusrati
UCVeDmd47c_Em03tcERDNK7w  # Kenza Boutrif
