# Generated by tools/wikidata-sweep.js --sitelink en — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 11343 channels, swept 2026-08-16 (run in two batches: shard 1 alone, then
# shards 2-9 together, since shard 1 alone already returned ~50k raw rows).
#
# Next:  node tools/add-candidates.js catalog/reach-10.txt

UC0NaWwWghJD37rMK2AYDidg  # Jeff Dunham
UC0NqJ6MhRnkRaWAmBgyyjTA  # Fall Out Boy
UC0O3sENnq96YCVBB6YMH4mA  # Hyram Yarbro
UC0O6I3lxLDMBpzO4IyOTzXg  # Belle Chen
UC0OrDvGwVQA1ZvTCGS3Un6Q  # Clint Sprott
UC0PiSmT7Vbjfhf3HDOV578A  # Shola Adewusi
UC0QHWhjbe5fGJEPz3sVb6nw  # Doctor Mike
UC0RG0Sj_zfhhb5V3V2gAGNg  # Anna Lapwood
UC0RfydqX6ErhTQn-_soyVAQ  # Andy Mangels
UC0Ri4yolakY_tb7RdcvzQ2g  # Lamb of God
UC0Ron4Xc6TEHp6S-kqw4sug  # Nathan Tomasello
UC0RzM4Oe2H4pxAYuk-hr1xA  # Coco Jones
UC0TKhJIGrGVZmnEwKBRwfyA  # James Arthur
UC0TobZSDyMaXaoVK_9TcPHA  # Portugal. The Man
UC0U1vhEJD2vmNpzibecrFDA  # Lush
UC0UUsQjUpLtlG6dF60DQeIQ  # A Perfect Circle
UC0UXFcB-y0K81fzUNL_nQOQ  # Marian Hill
UC0Upo-drUBayitYV4NSnz7g  # Jeremy Riddle
UC0VDoibglvjR23EaNH5ut7Q  # Stunna 4 Vegas
UC0VVYtw21rg2cokUystu2Dw  # SmallAnt
UC0Vnqe2Q1_FNK-Z__iPICzw  # Taylor Winterstein
UC0Vp0k3ig8pVZYWhAoa18Ug  # Lauren Young
UC0W4NnF0akv54fIi3O3XaAg  # Nightly
UC0W6NYJ_y7cd3laVfaSOl0A  # Adam Saleh
UC0WP5P-ufpRfjbNrmOWwLBQ  # Q2121062
UC0WjDLi4dOONeq8II5MaoDQ  # Jane Hissey
UC0Wu8k-3Yc6tro6KYmLZRvQ  # The Main Squeeze
UC0XbiRcJLXN_xiscRcKEe0A  # Evonne Hsu
UC0XhPfbWkymiMgLm-GwraIw  # Pez
UC0YjP1dWiz1Q0sLhdks3irA  # Paul Weller
UC0ZcO-9E9mdN5e3scBCAGvg  # Joan Armatrading
UC0_95MpNlRz9x7JmsXBClZA  # Eladio Carrión
UC0a3wteLdmn09BoqtqPja6w  # Dropping Daylight
UC0a9RdJlhZ7mjRiYjFSm4xQ  # King of Foxes
UC0adt9l9HSGh31N48olTQLg  # Haley Heynderickx
UC0biFgrMdkv1hFAFLVePODQ  # Trixie Mattel
UC0cWCBqsNo60hrSyTiWGjNA  # Olivia De Berardinis
UC0cmytfYxCIWJVTMfq3zOjg  # Frank Zummo
UC0dbzuSRwNiZXfWK05epKUQ  # Miles Routledge
UC0e5VeYD7a9470ARGXwvDlw  # Rufus Wainwright
UC0eAt21KrRiYwLu3cs1qe6A  # Sofia Isella
UC0eN4nTaHaIxFw9ae6ghhwQ  # Of Virtue
UC0f1W3G4z8ilUBxVxraY1tg  # James Williamson
UC0fjYKPi3iYTeFRznT4fAHw  # Public Image Ltd.
UC0fmT1J9iVv_wzLUN7E-aJA  # Manic Street Preachers
UC0fwWRisVFcamTqaXQ7Gb4Q  # Ian Jones-Quartey
UC0g0ePeA6vzKoz-xP7S9LLg  # Mark Lebedew
UC0gEw6pgNkLkkzMwzX4UtHA  # Arin Hanson
UC0gc-p-Rn1YFfUrL10je2RQ  # Iwan Rheon
UC0gyfK7sgvki7Rk-_EKyZnA  # Jack Whitehall
UC0hEoHhKIOC9hTBVkPZ-MCQ  # Muncie Girls
UC0hSwlPlJlXqYJbvuUGoj_w  # Djoir
UC0hv4aJ0yly4LuL6C13Sv4w  # Saxon Sharbino
UC0i6gIMXKhpAftcblKCgqKA  # Old Dominion
UC0ifXd2AVf1LMYbqwB5GH4g  # Polo G
UC0ixS0vQvu2oskzHdmjoadw  # Anteros
UC0jIctUPBK6lHw4AYnGHvCA  # Blimey Cow
UC0j_5XfeDyWYWxnmGPF2w7w  # Emma Doran
UC0jzVL5hkirDJCol3sKSgPA  # Murs
UC0ke1xrNvdWoChiYuo3PHAA  # Q20685060
UC0keqOC0vLeWwFsd_5ljNvQ  # Django Django
UC0lLeNdvLrFozQRsQ1TQiAw  # Aaron Blaise
UC0lY-vzJffCCllbw3G5FaCw  # The Growlers
UC0lbH5C33tG3ZG7PdogbU1g  # Jada Facer
UC0lkCn7D--uMrtwAXRj_cdw  # BadBoyHalo
UC0n-Ja3XdoytHmzJEFYD9_w  # Calma Carmona
UC0nLZJd-h00SuV4V7Teu3mA  # Sir Sly
UC0nQeV6G3ix-8kodcf52gvA  # Leslie Marshall
UC0nS0FSoouwc_Nm8g6DnH8w  # Lorna Shore
UC0nTNCAdcCx4mWF2ryWTSWg  # Martin Dougiamas
UC0oBRrcjM71l6kK8fnhTPig  # Rob Paparozzi
UC0oXXV8D9mxXmzomBMCUVRg  # Anthony Ramos
UC0oXyLIKxh1kCP3wLv4G6mQ  # Jacob Sartorius
UC0oZgd9LLjCKijXCOcWNj0A  # Alicia Minshew
UC0oo3vvRM9CqL4vx7TahkkQ  # Q4750521
UC0p4nedyuDyIUoRZGRbE60g  # Emergency Broadcast Network
UC0pE4qqVAA6sdplyHXm3TOQ  # Isabella Manfredi
UC0pIpnQoJPiu6csDkBrVzHA  # Marcas Mac an Tuairneir
